S/N,Names,Date of birth,Educational Qualification,Achievements & Honors,Political Background / Previous Offices
1,Chief Dr. Orji Uzor Kalu,"21st April, 1960","Primary school Certificate, Christ the King School Aba and Government College, Umuahia.",National Merit Award at age of 26 in 1986,"Governor of Abia State, Nigeria from May 29, 1999, to May 29, 2007"
,,,"College Certificate, Barewa College, Zaria","Humanitarian Award of the University of Nigeria, Nsukka's Humanitarian club",Chairman of the Borno Water Board
,,,"Honorary Doctorates, Maiduguri University",Volunteer Award of the International Association of Volunteers,Chairman of the Cooperative and Commerce Bank Limited
,,,"Degree Certificate and  Honorary Doctorates, Abia State University",EU Special Award in Brussels,
,,,"Certificate in Business Administration, Harvard University",World Bank Leo Sullivan Award,
,,,,,
2,Sir Marc Wabara,Not found,Not found,Not found,Director of Hallmark Bank
,,,,,
3,Senator Nkechi Nwaogu," 29th May, 1956","Diploma in PRTG Management, Brunel University in 1979",Not found,"Chair of the Senate Committee on Banking, Insurance and other Financial Institutions"
,,,"Post Graduate Diploma, Management Studies in 1981",,
,,,MSC Management (Finance) 1984,,
,,,,,
4,Binta Masi,"17th April, 1967","Primary school Certificate, Army Children School, New Cantonment D, Hayin Banki, Kaduna.(1957 - 1981)",Jaycees International Young Person Role Model Award 2002,Senator of Adamawa North Senatorial District of Adamawa State since 2015
,,,"GCE/WAEC ‘O’ Level, Government Day School, Kurmin Mashi, Kaduna South, Kaduna (1981 - 1987)",PRS - The Women of Merit Gold Award;,Chairperson of Adamawa state chapter of All Progressive Congress (APC)
,,,"OND Marketing, 1990 & HND Marketing,1997, Kaduna Polytechnic",Prime International - Women in Leadership Merit Award May 2002,Federal House of Representatives (1999 - 2011)
,,,Harvard University (Public Financial Management) 2004,"Association of Market Women and Men, Abuja Role Model Award Sept 2002",First Vice President of Commonwealth Women Parliamentarians (CWP)
,,,"Two Diplomas in Theology, Bible School of Church Growth and Practical Ministry, and Matthew Owujaye's Ministry, Kaduna",Dame Publication - Nigerian Women Award (Role Model) - 2002,Female delegate from Adamawa State to the National Conference in Abuja.
,,,"Honorary Doctorate Degree in Theology, Smith Christian University, Miami, Florida",National Women Mobilization Committee Award - our Jewel (NAWOMCO),
,,,,Leadership Distinction Award (Most Distinguished Representatives),
,,,,Valuable Contribution to Development of Parliamentary Democracy in Nigeria Award.,
,,,,NCWS; Meritorious Award - 2016,
,,,,Northern Youth Advocacy for Peace & Development,
,,,,WAELE/ARCELFA Pride of African Woman Award - 2016,
,,,,National Lyrics & Singers Union Merit Award,
,,,,Christian Association of Nigeria Youth Wing - 2016,
,,,,Leadership Legislative Award (LLA) Senator of the year Adamawa State - 2016,
,,,,Modibbo Adama University of Technology – Yola Award of Excellence - 2016,
,,,,Northeast Star Magazine Media Merit Award Best Female Politician of the Year - 2017,
,,,,Sheroes Foundation Outstanding leadership Award - 2017,
,,,,Association of Female Medical Laboratory Scientists of Nigeria.,
,,,,Award of Recognition for selfless Service to Humanity - 2017,
,,,,,
5,Aisha Dahiru,Not found,Not found,Not found,Not found
,,,,,
6,Sen ahmed Moallayidi,Born in 1959,"WASC, Ganye 1 Primary School, Ganye. 1975",Not found,Q.S.I FCDA (1980 - 1983)
,,,"WASC, North Est College of Agric. Science, Maiduguri  1977",,State Counsel of Plateau State
,,,"B.SC HONS, Abu Zaria 1980",,Senator of Adamawa South 2015
,,,M.SC (CONST MAT.) Abu Zaria 1985,,
,,,"M.SC in International Economic Law, Georgetown University, Washington DC",,
,,,,,
7,Hon Ekpeyong Etim,"6th November, 1967","F.S.L.C, St. Plus Primary School Ikot Itle Udung","Otuenkong Nsitatai, Uboil Udom Oron, Award of Excellence by Rotary International",Member State House of Representative (1970-1970)
,,,"G.C.E, Cross River State School Of Basic Studies",,Deputy Speaker Akwa Ibom State House of Assemblies (1970-1970)
,,,"OND, Accounting from Akwa Ibom Uyo State Polytechnic, Ikot Osurua",,Chairman House committee on Project Monitoring (1970-1970)
,,,"B.SC HONS, Economics from University of Uyo, Akwa Ibom State.",,
,,,,,
8,Sen Godswill Akpabio,"9th December, 1962","Primary School Certificate, Methodist Primary School, Ukana Essien Udim LGA, Akwa Ibom State",The Congressional Certificate of Recognition of the United States Congress (2011).,Honourable Commissioner for Petroleum and Natural Resources
,,,"WASC, Federal Government College, Port Harcourt Rivers State",Africa Lifetime Achievement Prize awarded by Millennium Excellence Foundation in Kenya.,Governor of Akwa Ibom State (2007-2015)
,,,"Degree in Law, University of Calabar, Cross River State",The Gold Humanitarian Services Award of the Republic of Niger 2008 ,Chairman of the newly formed People Democratic Party (PDP) 2013
